date,day_of_week,day_of_week_num,month,year,shift,shift_hour,is_weekend,is_holiday,station_id,station_factor,fuel_type,price_per_liter,predicted_demand_liters,actual_demand_liters,demand_accuracy,num_transactions,avg_liters_per_transaction,avg_wait_time_minutes,peak_wait_time_minutes,tank_capacity_liters,stock_before_liters,stock_after_liters,stock_percentage,alert_status,recommended_staff,temperature_celsius,rainfall_mm,revenue_lkr,seasonal_factor,shift_multiplier,weekend_multiplier,holiday_multiplier,weather_multiplier
2022-06-27,Monday,0,6,2022,evening,20,0,0,Station_E,0.8,Diesel,361.2,1337.22,1100.13,82.27,31,35.49,5.4,5.4,15000,7693.28,6593.15,44.0,normal,3,25.1,107.4,397372.35,1.15,0.85,1.0,1.0,0.95
2023-07-01,Saturday,5,7,2023,morning,8,1,0,Station_E,0.8,Petrol_95,454.14,1111.5,886.7,79.78,21,42.22,6.9,10.4,10000,6743.51,5856.81,58.6,normal,2,26.5,154.2,402687.88,1.0,1.3,1.25,1.0,0.95
2024-04-21,Sunday,6,4,2024,afternoon,14,1,0,Station_E,0.8,Diesel,356.63,2340.0,1967.42,84.08,55,35.77,7.4,7.4,10000,6622.44,4655.02,46.6,normal,4,27.2,8.8,701648.78,1.3,1.0,1.25,1.0,1.0
2024-06-20,Thursday,3,6,2024,afternoon,14,0,0,Station_B,1.0,Petrol_92,377.93,1725.0,2268.13,68.51,55,41.24,9.0,9.0,10000,8249.5,5981.37,59.8,normal,5,29.2,91.7,857191.07,1.15,1.0,1.0,1.0,1.0
2022-11-15,Tuesday,1,11,2022,evening,20,0,0,Station_B,1.0,Diesel,357.31,1132.49,1120.54,98.94,28,40.02,5.5,5.5,20000,17385.46,16264.92,81.3,normal,3,24.9,33.6,400383.52,0.74,0.85,1.0,1.0,1.0
2022-09-29,Thursday,3,9,2022,morning,8,0,0,Station_C,0.9,Petrol_95,445.06,740.45,605.17,81.73,15,40.34,5.7,8.6,20000,15151.56,14546.39,72.7,normal,2,24.1,116.6,269334.04,0.74,1.3,1.0,1.0,0.95
2023-09-03,Sunday,6,9,2023,afternoon,14,1,0,Station_E,0.8,Diesel,362.45,1265.73,1127.98,89.12,29,38.9,5.5,5.5,20000,16442.72,15314.74,76.6,normal,3,21.6,164.7,408833.62,0.74,1.0,1.25,1.0,0.95
2024-03-26,Tuesday,1,3,2024,morning,8,0,0,Station_C,0.9,Super_Diesel,423.95,1031.78,884.16,85.69,23,38.44,8.1,12.1,20000,11882.17,10998.01,55.0,normal,2,32.1,0.0,374842.35,1.26,1.3,1.0,1.0,1.0
2023-11-30,Thursday,3,11,2023,afternoon,14,0,0,Station_A,1.2,Diesel,360.24,1598.82,1457.52,91.16,34,42.87,6.2,6.2,20000,10289.13,8831.61,44.2,normal,3,27.6,57.3,525052.85,0.74,1.0,1.0,1.0,1.0
2022-03-04,Friday,4,3,2022,evening,20,0,0,Station_E,0.8,Petrol_95,452.06,771.0,643.76,83.5,14,45.98,5.9,5.9,10000,8639.81,7996.05,80.0,normal,2,33.2,0.0,291017.38,1.26,0.85,1.0,1.0,1.0
2022-12-20,Tuesday,1,12,2022,afternoon,14,0,0,Station_C,0.9,Diesel,360.9,1377.0,1618.11,82.49,45,35.96,6.6,6.6,15000,9982.97,8364.86,55.8,normal,4,27.8,29.4,583980.5,0.85,1.0,1.0,1.0,1.0
2024-03-24,Sunday,6,3,2024,morning,8,1,0,Station_A,1.2,Diesel,359.65,4421.92,3634.77,82.2,102,35.64,11.1,16.6,20000,12793.73,9158.96,45.8,normal,5,30.5,0.0,1307231.53,1.26,1.3,1.25,1.0,1.0
2023-02-14,Tuesday,1,2,2023,morning,8,0,0,Station_A,1.2,Super_Diesel,418.83,1255.8,1236.02,98.42,30,41.2,10.1,15.2,15000,9076.79,7840.77,52.3,normal,3,26.4,0.0,517681.34,1.15,1.3,1.0,1.0,1.0
2022-03-17,Thursday,3,3,2022,afternoon,14,0,0,Station_B,1.0,Petrol_92,376.86,1889.71,2045.58,91.75,56,36.53,8.5,8.5,15000,9494.14,7448.56,49.7,normal,5,29.5,0.0,770890.72,1.26,1.0,1.0,1.0,1.0
2022-04-26,Tuesday,1,4,2022,afternoon,14,0,0,Station_C,0.9,Diesel,355.51,2106.0,2253.98,92.97,56,40.25,8.0,8.0,10000,5863.92,3609.94,36.1,low,5,29.4,0.0,801301.42,1.3,1.0,1.0,1.0,1.0
2024-10-29,Tuesday,1,10,2024,evening,20,0,0,Station_A,1.2,Diesel,362.47,1220.94,1182.94,96.89,32,36.97,5.6,5.6,20000,11150.65,9967.71,49.8,normal,3,21.1,108.7,428782.9,0.7,0.85,1.0,1.0,0.95
2022-08-23,Tuesday,1,8,2022,afternoon,14,0,0,Station_B,1.0,Petrol_92,378.44,1211.25,1159.31,95.71,26,44.59,6.1,6.1,15000,12559.66,11400.35,76.0,normal,3,24.4,114.9,438732.45,0.85,1.0,1.0,1.0,0.95
2024-05-14,Tuesday,1,5,2024,morning,8,0,0,Station_D,1.1,Petrol_95,450.25,1540.3,1610.84,95.42,38,42.39,10.2,15.3,20000,18049.55,16438.71,82.2,normal,4,29.0,115.7,725280.2,1.26,1.3,1.0,1.0,0.95
2024-12-24,Tuesday,1,12,2024,morning,8,0,0,Station_B,1.0,Petrol_95,445.65,994.5,1087.19,90.68,30,36.24,7.8,11.7,15000,11889.65,10802.46,72.0,normal,3,26.3,0.0,484510.3,0.85,1.3,1.0,1.0,1.0
2023-06-02,Friday,4,6,2023,evening,20,0,0,Station_D,1.1,Petrol_95,449.43,967.72,885.15,91.47,20,44.26,6.9,6.9,15000,7811.88,6926.73,46.2,normal,2,28.5,93.8,397814.98,1.15,0.85,1.0,1.0,1.0
2024-05-19,Sunday,6,5,2024,evening,20,1,0,Station_E,0.8,Petrol_95,453.55,963.75,832.98,86.43,23,36.22,6.7,6.7,15000,10653.33,9820.35,65.5,normal,2,30.8,23.6,377800.03,1.26,0.85,1.25,1.0,1.0
2023-09-17,Sunday,6,9,2023,morning,8,1,0,Station_C,0.9,Petrol_92,381.47,1542.61,1673.53,91.51,42,39.85,7.5,11.2,20000,14823.15,13149.62,65.7,normal,4,27.5,135.4,638396.78,0.74,1.3,1.25,1.0,0.95
2023-02-13,Monday,0,2,2023,morning,8,0,0,Station_E,0.8,Super_Diesel,417.33,837.2,784.11,93.66,21,37.34,7.5,11.2,20000,17393.47,16609.36,83.0,normal,2,30.6,0.0,327229.54,1.15,1.3,1.0,1.0,1.0
2022-08-17,Wednesday,2,8,2022,afternoon,14,0,0,Station_A,1.2,Petrol_95,450.85,872.1,793.2,90.95,19,41.75,6.5,6.5,10000,5857.86,5064.66,50.6,normal,2,25.3,124.0,357610.76,0.85,1.0,1.0,1.0,0.95
2024-06-23,Sunday,6,6,2024,evening,20,1,0,Station_A,1.2,Petrol_95,450.81,1253.64,1347.27,92.53,31,43.46,9.0,9.0,15000,7820.69,6473.42,43.2,normal,3,27.3,105.8,607364.45,1.15,0.85,1.25,1.0,0.95
2022-05-31,Tuesday,1,5,2022,afternoon,14,0,0,Station_A,1.2,Petrol_92,376.1,2267.65,2289.42,99.04,64,35.77,9.1,9.1,10000,5710.08,3420.66,34.2,low,5,29.3,75.4,861051.39,1.26,1.0,1.0,1.0,1.0
2023-12-26,Tuesday,1,12,2023,afternoon,14,0,0,Station_B,1.0,Super_Diesel,422.44,595.0,676.71,86.27,15,45.11,6.9,6.9,20000,12046.01,11369.3,56.8,normal,2,25.7,3.0,285868.45,0.85,1.0,1.0,1.0,1.0
2023-04-27,Thursday,3,4,2023,evening,20,0,0,Station_B,1.0,Super_Diesel,415.85,773.5,560.32,72.44,13,43.1,6.2,6.2,20000,10794.8,10234.48,51.2,normal,2,31.0,0.0,233006.6,1.3,0.85,1.0,1.0,1.0
2023-06-17,Saturday,5,6,2023,morning,8,1,0,Station_E,0.8,Petrol_95,451.2,1345.5,1301.31,96.72,36,36.15,8.8,13.2,20000,10705.18,9403.87,47.0,normal,3,26.7,77.6,587147.42,1.15,1.3,1.25,1.0,1.0
2024-04-29,Monday,0,4,2024,morning,8,0,0,Station_C,0.9,Super_Diesel,424.32,1064.7,860.09,80.78,24,35.84,7.9,11.9,15000,8834.73,7974.64,53.2,normal,2,29.5,21.0,364955.8,1.3,1.3,1.0,1.0,1.0
2023-11-19,Sunday,6,11,2023,evening,20,1,0,Station_C,0.9,Petrol_92,384.96,1061.71,971.68,91.52,25,38.87,5.6,5.6,10000,7347.83,6376.15,63.8,normal,2,30.2,48.5,374062.49,0.74,0.85,1.25,1.0,1.0
2022-10-15,Saturday,5,10,2022,evening,20,1,0,Station_C,0.9,Super_Diesel,415.39,468.56,389.81,83.19,10,38.98,5.2,5.2,10000,9319.78,8929.97,89.3,normal,2,28.7,44.6,161922.04,0.7,0.85,1.25,1.0,1.0
2022-01-11,Tuesday,1,1,2022,afternoon,14,0,0,Station_C,0.9,Petrol_92,382.79,1350.0,1766.02,69.18,40,44.15,7.7,7.7,20000,13204.25,11438.23,57.2,normal,4,26.9,0.0,676013.71,1.0,1.0,1.0,1.0,1.0
2022-07-26,Tuesday,1,7,2022,evening,20,0,0,Station_A,1.2,Petrol_92,377.23,1453.5,1578.18,91.42,40,39.45,7.2,7.2,20000,14591.97,13013.79,65.1,normal,4,26.9,158.3,595335.39,1.0,0.85,1.0,1.0,0.95
2024-01-29,Monday,0,1,2024,afternoon,14,0,0,Station_C,0.9,Petrol_92,375.19,1350.0,1570.66,83.65,37,42.45,7.2,7.2,15000,12398.48,10827.82,72.2,normal,4,29.6,0.0,589300.26,1.0,1.0,1.0,1.0,1.0
2022-09-27,Tuesday,1,9,2022,afternoon,14,0,0,Station_A,1.2,Diesel,364.73,1518.87,1763.26,83.91,40,44.08,6.9,6.9,20000,13138.69,11375.43,56.9,normal,4,23.4,136.8,643119.81,0.74,1.0,1.0,1.0,0.95
2023-03-17,Friday,4,3,2023,evening,20,0,0,Station_C,0.9,Petrol_95,448.04,867.38,830.12,95.7,20,41.51,6.7,6.7,20000,12714.06,11883.94,59.4,normal,2,28.8,0.0,371927.73,1.26,0.85,1.0,1.0,1.0
2022-02-09,Wednesday,2,2,2022,morning,8,0,0,Station_E,0.8,Super_Diesel,420.03,837.2,668.51,79.85,18,37.14,6.8,10.2,20000,14400.51,13732.0,68.7,normal,2,30.4,0.0,280797.34,1.15,1.3,1.0,1.0,1.0
2024-07-22,Monday,0,7,2024,afternoon,14,0,0,Station_A,1.2,Diesel,361.79,2052.0,2001.13,97.52,47,42.58,7.4,7.4,20000,12438.85,10437.72,52.2,normal,5,27.4,125.9,723985.36,1.0,1.0,1.0,1.0,0.95
2023-11-22,Wednesday,2,11,2023,morning,8,0,0,Station_E,0.8,Diesel,355.25,1385.64,1580.27,85.95,36,43.9,6.5,9.8,20000,14921.34,13341.07,66.7,normal,4,24.8,0.8,561397.43,0.74,1.3,1.0,1.0,1.0
2023-09-20,Wednesday,2,9,2023,evening,20,0,0,Station_B,1.0,Super_Diesel,420.7,418.39,233.93,55.91,5,46.79,4.3,4.3,10000,7931.12,7697.19,77.0,normal,2,23.5,143.9,98414.84,0.74,0.85,1.0,1.0,0.95
2022-12-15,Thursday,3,12,2022,evening,20,0,0,Station_A,1.2,Petrol_92,376.12,1300.5,1406.93,91.82,31,45.38,6.8,6.8,15000,9649.4,8242.47,54.9,normal,3,23.8,11.6,529169.65,0.85,0.85,1.0,1.0,1.0
2024-10-23,Wednesday,2,10,2024,afternoon,14,0,0,Station_A,1.2,Super_Diesel,420.9,588.0,686.53,83.24,16,42.91,6.9,6.9,10000,6632.15,5945.62,59.5,normal,2,25.0,67.5,288958.85,0.7,1.0,1.0,1.0,1.0
2022-06-07,Tuesday,1,6,2022,afternoon,14,0,0,Station_C,0.9,Super_Diesel,416.49,724.5,731.17,99.08,16,45.7,7.2,7.2,10000,8923.83,8192.66,81.9,normal,2,29.7,95.7,304524.96,1.15,1.0,1.0,1.0,1.0
2024-03-16,Saturday,5,3,2024,morning,8,1,0,Station_D,1.1,Petrol_95,451.77,2026.72,1930.33,95.24,50,38.61,11.6,17.4,20000,15552.96,13622.63,68.1,normal,4,34.0,0.0,872059.07,1.26,1.3,1.25,1.0,1.0
2022-03-23,Wednesday,2,3,2022,morning,8,0,0,Station_E,0.8,Super_Diesel,418.47,917.14,831.79,90.69,20,41.59,7.8,11.7,20000,12798.5,11966.71,59.8,normal,2,29.6,0.0,348081.97,1.26,1.3,1.0,1.0,1.0
2023-06-27,Tuesday,1,6,2023,afternoon,14,0,0,Station_B,1.0,Petrol_95,447.23,983.25,1038.46,94.38,29,35.81,7.6,7.6,20000,17573.21,16534.75,82.7,normal,3,25.3,107.0,464431.88,1.15,1.0,1.0,1.0,0.95
2024-07-29,Monday,0,7,2024,afternoon,14,0,0,Station_D,1.1,Petrol_95,451.78,940.5,912.41,97.01,21,43.45,7.1,7.1,20000,14606.99,13694.58,68.5,normal,2,24.8,150.8,412205.33,1.0,1.0,1.0,1.0,0.95
2024-02-08,Thursday,3,2,2024,morning,8,0,0,Station_D,1.1,Diesel,356.95,2960.1,3256.19,90.0,72,45.22,10.2,15.3,15000,13504.53,10248.34,68.3,normal,5,34.0,0.0,1162305.62,1.15,1.3,1.0,1.0,1.0
2024-01-05,Friday,4,1,2024,morning,8,0,0,Station_D,1.1,Super_Diesel,424.1,1001.0,935.02,93.41,20,46.75,8.3,12.5,10000,6864.87,5929.85,59.3,normal,2,24.0,0.0,396537.33,1.0,1.3,1.0,1.0,1.0
2023-11-19,Sunday,6,11,2023,morning,8,1,0,Station_A,1.2,Diesel,358.91,2598.08,2681.99,96.77,75,35.76,9.0,13.5,20000,13424.63,10742.64,53.7,normal,5,30.2,48.5,962605.84,0.74,1.3,1.25,1.0,1.0
2022-11-14,Monday,0,11,2022,morning,8,0,0,Station_D,1.1,Super_Diesel,417.7,740.93,642.54,86.72,15,42.84,6.7,10.0,20000,12661.35,12018.81,60.1,normal,2,26.3,46.4,268390.96,0.74,1.3,1.0,1.0,1.0
2022-02-20,Sunday,6,2,2022,afternoon,14,1,0,Station_C,0.9,Super_Diesel,422.83,905.62,1062.59,82.67,28,37.95,9.1,9.1,15000,11421.04,10358.45,69.1,normal,3,28.2,0.0,449298.84,1.15,1.0,1.25,1.0,1.0
2023-08-19,Saturday,5,8,2023,morning,8,1,0,Station_B,1.0,Petrol_95,451.48,1180.97,1080.12,91.46,27,40.0,7.8,11.7,20000,13632.71,12552.59,62.8,normal,3,23.4,216.4,487649.43,0.85,1.3,1.25,1.0,0.95
2024-07-23,Tuesday,1,7,2024,evening,20,0,0,Station_B,1.0,Petrol_92,376.79,1211.25,996.83,82.3,26,38.34,5.7,5.7,15000,9063.66,8066.83,53.8,normal,2,26.6,178.2,375591.9,1.0,0.85,1.0,1.0,0.95
2022-08-11,Thursday,3,8,2022,evening,20,0,0,Station_E,0.8,Diesel,356.28,988.38,1542.29,43.96,40,38.56,6.4,6.4,15000,8262.06,6719.77,44.8,normal,4,24.5,115.7,549480.36,0.85,0.85,1.0,1.0,0.95
2022-02-08,Tuesday,1,2,2022,evening,20,0,0,Station_C,0.9,Petrol_92,377.8,1319.62,1027.22,77.84,26,39.51,5.7,5.7,20000,18038.54,17011.32,85.1,normal,3,28.9,0.0,388079.75,1.15,0.85,1.0,1.0,1.0
2024-11-02,Saturday,5,11,2024,morning,8,1,0,Station_E,0.8,Petrol_92,382.86,1443.38,1521.72,94.57,37,41.13,7.1,10.6,10000,7622.85,6101.13,61.0,normal,4,26.4,67.5,582610.51,0.74,1.3,1.25,1.0,1.0
2023-12-11,Monday,0,12,2023,afternoon,14,0,0,Station_E,0.8,Petrol_92,384.73,1020.0,880.14,86.29,20,44.01,5.3,5.3,10000,8864.79,7984.65,79.8,normal,2,27.3,39.2,338619.05,0.85,1.0,1.0,1.0,1.0
2023-07-14,Friday,4,7,2023,afternoon,14,0,0,Station_E,0.8,Diesel,364.85,1368.0,1134.17,82.91,25,45.37,5.5,5.5,10000,9471.11,8336.94,83.4,normal,3,20.9,145.1,413805.12,1.0,1.0,1.0,1.0,0.95
2024-04-27,Saturday,5,4,2024,morning,8,1,0,Station_A,1.2,Petrol_92,383.77,3802.5,3633.57,95.56,91,39.93,12.7,19.0,10000,7199.62,3566.05,35.7,low,5,29.2,0.0,1394451.23,1.3,1.3,1.25,1.0,1.0
2024-05-15,Wednesday,2,5,2024,afternoon,14,0,0,Station_A,1.2,Petrol_95,450.07,1360.59,1349.07,99.15,32,42.16,9.0,9.0,15000,13736.18,12387.11,82.6,normal,3,29.5,79.7,607176.44,1.26,1.0,1.0,1.0,1.0
2024-06-08,Saturday,5,6,2024,evening,20,1,0,Station_D,1.1,Super_Diesel,419.69,893.8,895.73,99.78,24,37.32,8.1,8.1,10000,5364.57,4468.84,44.7,normal,2,29.6,110.0,375927.63,1.15,0.85,1.25,1.0,0.95
2022-10-18,Tuesday,1,10,2022,evening,20,0,0,Station_B,1.0,Diesel,362.93,1017.45,954.84,93.85,26,36.72,5.1,5.1,15000,10612.79,9657.95,64.4,normal,2,26.1,138.8,346539.53,0.7,0.85,1.0,1.0,0.95
2022-05-03,Tuesday,1,5,2022,morning,8,0,0,Station_B,1.0,Petrol_95,450.46,1473.97,1478.0,99.73,37,39.95,9.6,14.4,15000,10302.73,8824.73,58.8,normal,3,29.2,0.0,665773.12,1.26,1.3,1.0,1.0,1.0
2023-01-17,Tuesday,1,1,2023,evening,20,0,0,Station_E,0.8,Petrol_95,451.54,612.0,587.71,96.03,14,41.98,5.6,5.6,15000,8728.44,8140.73,54.3,normal,2,25.2,0.0,265373.46,1.0,0.85,1.0,1.0,1.0
2024-02-18,Sunday,6,2,2024,evening,20,1,0,Station_C,0.9,Super_Diesel,419.18,769.78,743.24,96.55,20,37.16,7.2,7.2,10000,8689.91,7946.67,79.5,normal,2,30.0,0.0,311549.2,1.15,0.85,1.25,1.0,1.0
2023-09-19,Tuesday,1,9,2023,morning,8,0,0,Station_B,1.0,Petrol_95,446.0,822.72,764.73,92.95,17,44.98,6.4,9.6,15000,13412.68,12647.95,84.3,normal,2,23.9,118.4,341068.71,0.74,1.3,1.0,1.0,0.95
2024-07-22,Monday,0,7,2024,morning,8,0,0,Station_E,0.8,Petrol_92,377.26,1482.0,1149.2,77.54,30,38.31,6.1,9.1,15000,9941.2,8792.0,58.6,normal,3,27.4,125.9,433544.69,1.0,1.3,1.0,1.0,0.95
2023-03-29,Wednesday,2,3,2023,evening,20,0,0,Station_C,0.9,Super_Diesel,416.71,674.63,508.55,75.38,13,39.12,5.9,5.9,10000,6775.37,6266.82,62.7,normal,2,30.5,0.0,211917.92,1.26,0.85,1.0,1.0,1.0
2022-12-30,Friday,4,12,2022,morning,8,0,0,Station_D,1.1,Diesel,357.0,2187.9,2580.66,82.05,73,35.35,8.7,13.0,15000,8113.1,5532.44,36.9,low,5,26.4,0.0,921285.86,0.85,1.3,1.0,1.0,1.0
2023-12-18,Monday,0,12,2023,afternoon,14,0,0,Station_C,0.9,Diesel,359.98,1377.0,687.35,49.92,17,40.43,4.5,4.5,15000,9214.89,8527.54,56.9,normal,2,25.2,34.2,247429.39,0.85,1.0,1.0,1.0,1.0
2022-11-24,Thursday,3,11,2022,morning,8,0,0,Station_D,1.1,Diesel,355.69,1905.26,1647.57,86.47,38,43.36,6.7,10.0,20000,17692.93,16045.36,80.2,normal,4,24.7,9.5,586030.49,0.74,1.3,1.0,1.0,1.0
2023-09-24,Sunday,6,9,2023,evening,20,1,0,Station_B,1.0,Super_Diesel,418.4,522.99,498.02,95.23,11,45.27,5.8,5.8,10000,8457.05,7959.03,79.6,normal,2,27.4,142.3,208372.89,0.74,0.85,1.25,1.0,0.95
2023-06-21,Wednesday,2,6,2023,morning,8,0,0,Station_B,1.0,Petrol_95,454.0,1345.5,1151.28,85.57,31,37.14,8.1,12.1,15000,13434.22,12282.94,81.9,normal,3,30.9,89.9,522685.84,1.15,1.3,1.0,1.0,1.0
2024-09-18,Wednesday,2,9,2024,evening,20,0,0,Station_D,1.1,Diesel,358.36,1183.46,1060.04,89.57,28,37.86,5.4,5.4,15000,13421.38,12361.34,82.4,normal,3,25.3,155.7,379873.1,0.74,0.85,1.0,1.0,0.95
2023-06-18,Sunday,6,6,2023,evening,20,1,0,Station_B,1.0,Petrol_92,378.37,1832.81,1654.69,90.28,38,43.54,7.4,7.4,10000,9106.38,7451.69,74.5,normal,4,29.5,88.8,626079.19,1.15,0.85,1.25,1.0,1.0
2024-02-09,Friday,4,2,2024,afternoon,14,0,0,Station_A,1.2,Petrol_92,375.2,2070.0,2353.32,86.31,56,42.02,9.3,9.3,20000,16470.55,14117.23,70.6,normal,5,26.6,0.0,882974.19,1.15,1.0,1.0,1.0,1.0
2024-07-20,Saturday,5,7,2024,morning,8,1,0,Station_E,0.8,Petrol_92,375.43,1852.5,1816.5,98.06,43,42.24,7.8,11.7,15000,10660.72,8844.22,59.0,normal,4,23.9,120.2,681965.79,1.0,1.3,1.25,1.0,0.95
2024-12-03,Tuesday,1,12,2024,evening,20,0,0,Station_B,1.0,Petrol_95,449.42,650.25,669.4,97.05,18,37.19,6.0,6.0,15000,12042.98,11373.58,75.8,normal,2,26.7,0.0,300844.83,0.85,0.85,1.0,1.0,1.0
2023-06-19,Monday,0,6,2023,morning,8,0,0,Station_E,0.8,Diesel,355.85,2152.8,2247.96,95.58,50,44.96,8.0,12.0,15000,8966.54,6718.58,44.8,normal,5,24.1,84.4,799945.08,1.15,1.3,1.0,1.0,1.0
2024-12-25,Wednesday,2,12,2024,afternoon,14,0,1,Station_B,1.0,Petrol_92,379.0,2040.0,2181.74,93.05,51,42.78,8.8,8.8,15000,12992.74,10811.0,72.1,normal,5,28.7,0.0,826889.8,0.85,1.0,1.0,1.6,1.0
2023-11-07,Tuesday,1,11,2023,afternoon,14,0,0,Station_E,0.8,Petrol_92,377.51,888.23,1027.41,84.33,29,35.43,5.7,5.7,15000,8114.65,7087.24,47.2,normal,3,28.7,40.2,387861.01,0.74,1.0,1.0,1.0,1.0
2024-08-29,Thursday,3,8,2024,evening,20,0,0,Station_D,1.1,Petrol_95,450.55,679.51,701.97,96.69,16,43.87,6.1,6.1,15000,7950.18,7248.21,48.3,normal,2,28.9,168.3,316272.19,0.85,0.85,1.0,1.0,0.95
2023-11-19,Sunday,6,11,2023,morning,8,1,0,Station_C,0.9,Petrol_92,383.63,1623.8,1955.14,79.59,46,42.5,8.2,12.3,15000,11650.4,9695.26,64.6,normal,4,30.2,48.5,750057.38,0.74,1.3,1.25,1.0,1.0
2022-07-11,Monday,0,7,2022,afternoon,14,0,0,Station_E,0.8,Petrol_95,451.27,684.0,638.99,93.42,15,42.6,5.8,5.8,10000,5047.76,4408.77,44.1,normal,2,27.0,120.8,288358.52,1.0,1.0,1.0,1.0,0.95
2023-01-31,Tuesday,1,1,2023,afternoon,14,0,0,Station_A,1.2,Diesel,355.19,2160.0,2277.82,94.55,51,44.66,8.1,8.1,10000,7583.46,5305.64,53.1,normal,5,31.9,0.0,809062.92,1.0,1.0,1.0,1.0,1.0
2024-03-01,Friday,4,3,2024,afternoon,14,0,0,Station_A,1.2,Petrol_95,445.16,1360.59,1485.7,90.8,40,37.14,9.6,9.6,20000,11370.08,9884.38,49.4,normal,3,32.6,0.0,661369.68,1.26,1.0,1.0,1.0,1.0
2022-09-04,Sunday,6,9,2022,evening,20,1,0,Station_C,0.9,Super_Diesel,422.5,470.69,368.0,78.18,9,40.89,5.1,5.1,15000,14106.27,13738.27,91.6,normal,2,25.0,145.2,155479.68,0.74,0.85,1.25,1.0,0.95
