stationId,stationName,brand,province,town,latitude,longitude,petrolAvailability,dieselAvailability,superPetrolAvailability,lastUpdated,availabilityConfidence,estimatedWaitTime
     FS020, CEYPETCO Kandy Central, CEYPETCO, Central,  Kandy,7.2906,80.6337,  Available,  Available,  Available,12/26/2025 14:45,  High,12
     FS021, Shell Peradeniya, Shell, Central,  Peradeniya,7.2563,80.5965,  Available,  Available,  Not Available,12/26/2025 14:10,  Medium,22
     FS022, IOC Katugastota, IOC, Central,  Katugastota,7.3272,80.6281,  Available,  Not Available,  Available,12/26/2025 13:50,  Medium,32
     FS023, CEYPETCO Matale, CEYPETCO, Central,  Matale,7.4675,80.6234,  Available,  Available,  Available,12/26/2025 14:35,  High,14
     FS024, Shell Dambulla, Shell, Central,  Dambulla,7.8731,80.6511,  Not Available,  Available,  Not Available,12/26/2025 12:40,  Low,48
     FS025, IOC Nuwara Eliya, IOC, Central,  Nuwara Eliya,6.9497,80.7891,  Available,  Available,  Available,12/26/2025 15:00,  High,8
     FS026, CEYPETCO Hatton, CEYPETCO, Central,  Hatton,6.8917,80.5958,  Available,  Not Available,  Not Available,12/26/2025 13:30,  Low,38
     FS027, Shell Gampola, Shell, Central,  Gampola,7.1644,80.5769,  Available,  Available,  Available,12/26/2025 14:50,  High,9
     FS028, IOC Nawalapitiya, IOC, Central,  Nawalapitiya,7.0556,80.5336,  Available,  Available,  Not Available,12/26/2025 14:15,  Medium,24
     FS029, CEYPETCO Galle Fort, CEYPETCO, Southern,  Galle,6.0535,80.221,  Available,  Available,  Available,12/26/2025 14:55,  High,11
     FS030, Shell Matara, Shell, Southern,  Matara,5.9549,80.555,  Available,  Not Available,  Available,12/26/2025 14:00,  Medium,27
     FS031, IOC Hambantota, IOC, Southern,  Hambantota,6.1241,81.1185,  Not Available,  Available,  Not Available,12/26/2025 12:45,  Low,44
     FS032, CEYPETCO Tangalle, CEYPETCO, Southern,  Tangalle,6.0233,80.7981,  Available,  Available,  Not Available,12/26/2025 14:20,  Medium,19
     FS033, Shell Hikkaduwa, Shell, Southern,  Hikkaduwa,6.1408,80.1003,  Available,  Available,  Available,12/26/2025 15:10,  High,7
     FS034, IOC Ambalangoda, IOC, Southern,  Ambalangoda,6.2358,80.0539,  Available,  Available,  Available,12/26/2025 14:40,  High,13
     FS035, CEYPETCO Weligama, CEYPETCO, Southern,  Weligama,5.9739,80.4297,  Not Available,  Available,  Not Available,12/26/2025 12:55,  Low,51
     FS036, Shell Mirissa, Shell, Southern,  Mirissa,5.9467,80.4586,  Available,  Not Available,  Available,12/26/2025 14:05,  Medium,29
     FS037, IOC Akuressa, IOC, Southern,  Akuressa,6.0986,80.4858,  Available,  Available,  Not Available,12/26/2025 14:25,  Medium,21
     FS038, CEYPETCO Jaffna Town, CEYPETCO, Northern,  Jaffna,9.6615,80.0255,  Available,  Available,  Available,12/26/2025 14:45,  High,10
     FS039, IOC Chavakachcheri, IOC, Northern,  Chavakachcheri,9.6664,80.1631,  Available,  Not Available,  Not Available,12/26/2025 13:35,  Medium,33
     FS040, Shell Point Pedro, Shell, Northern,  Point Pedro,9.8169,80.2347,  Not Available,  Available,  Not Available,12/26/2025 13:10,  Low,46
     FS041, CEYPETCO Vavuniya, CEYPETCO, Northern,  Vavuniya,8.7514,80.4971,  Available,  Available,  Not Available,12/26/2025 14:20,  Medium,23
     FS042, IOC Kilinochchi, IOC, Northern,  Kilinochchi,9.3961,80.4036,  Available,  Available,  Available,12/26/2025 14:50,  High,9
     FS043, Shell Mannar, Shell, Northern,  Mannar,8.981,79.9044,  Available,  Not Available,  Available,12/26/2025 13:55,  Medium,31
     FS044, CEYPETCO Trincomalee, CEYPETCO, Eastern,  Trincomalee,8.5874,81.2152,  Available,  Available,  Available,12/26/2025 15:00,  High,6
     FS045, IOC Batticaloa, IOC, Eastern,  Batticaloa,7.731,81.6747,  Not Available,  Available,  Not Available,12/26/2025 12:50,  Low,49
     FS046, Shell Ampara, Shell, Eastern,  Ampara,7.2974,81.6722,  Available,  Available,  Not Available,12/26/2025 14:15,  Medium,26
     FS047, CEYPETCO Kalmunai, CEYPETCO, Eastern,  Kalmunai,7.4089,81.8336,  Available,  Available,  Available,12/26/2025 14:40,  High,15
     FS048, IOC Valaichchenai, IOC, Eastern,  Valaichchenai,7.9167,81.5667,  Available,  Not Available,  Available,12/26/2025 13:45,  Medium,34
     FS049, Shell Kattankudy, Shell, Eastern,  Kattankudy,7.6889,81.7308,  Not Available,  Available,  Not Available,12/26/2025 13:05,  Low,52
     FS050, CEYPETCO Kurunegala, CEYPETCO, North Western,  Kurunegala,7.4863,80.3647,  Available,  Available,  Available,12/26/2025 14:55,  High,8
     FS051, IOC Puttalam, IOC, North Western,  Puttalam,8.0362,79.8283,  Available,  Available,  Not Available,12/26/2025 14:10,  Medium,25
     FS052, Shell Chilaw, Shell, North Western,  Chilaw,7.5758,79.7956,  Available,  Not Available,  Available,12/26/2025 13:40,  Medium,36
     FS053, CEYPETCO Kuliyapitiya, CEYPETCO, North Western,  Kuliyapitiya,7.4689,80.0403,  Not Available,  Available,  Not Available,12/26/2025 12:35,  Low,47
     FS054, IOC Wariyapola, IOC, North Western,  Wariyapola,7.5044,80.2289,  Available,  Available,  Available,12/26/2025 15:05,  High,11
     FS055, Shell Narammala, Shell, North Western,  Narammala,7.4339,80.2022,  Available,  Available,  Not Available,12/26/2025 14:25,  Medium,17
     FS056, CEYPETCO Ratnapura, CEYPETCO, Sabaragamuwa,  Ratnapura,6.7056,80.3847,  Available,  Available,  Available,12/26/2025 14:50,  High,13
     FS057, IOC Embilipitiya, IOC, Sabaragamuwa,  Embilipitiya,6.3431,80.8511,  Available,  Not Available,  Not Available,12/26/2025 13:30,  Low,40
    FS058,Shell Balangoda,Shell,Sabaragamuwa,Balangoda,6.661,80.6936,Available,Available,Available,12/26/2025 14:40,High,14
FS059,IOC Kegalle Town,IOC,Sabaragamuwa,Kegalle,7.2513,80.3464,Available,Available,Not Available,12/26/2025 14:15,Medium,22
     FS060, IOC Fuel Station Colombo Fort, IOC, Western,  Colombo,7.709566102,80.82339912,  Available,  Available,  Available,12/26/2025 14:45,  High,26.89830508
     FS061, CEYPETCO Filling Station Bambalapitiya, CEYPETCO, Western,  Colombo,7.72567678,80.83845655,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,26.99152542
     FS062, Shell Galle Road, Shell, Western,  Colombo,7.741787458,80.85351398,  Available,  Available,  Available,12/26/2025 14:45,  High,27.08474576
     FS063, IOC Nugegoda Junction, IOC, Western,  Nugegoda,7.757898136,80.86857141,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,27.1779661
     FS064, CEYPETCO Maharagama, CEYPETCO, Western,  Maharagama,7.774008814,80.88362884,  Available,  Available,  Not Available,12/26/2025 14:45,  High,27.27118644
     FS065, Shell Moratuwa, Shell, Western,  Moratuwa,7.790119492,80.89868627,  Available,  Available,  Available,12/26/2025 14:45,  High,27.36440678
     FS066, IOC Panadura Town, IOC, Western,  Panadura,7.806230169,80.91374369,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,27.45762712
     FS067, CEYPETCO Kalutara, CEYPETCO, Western,  Kalutara,7.822340847,80.92880112,  Available,  Available,  Available,12/26/2025 14:45,  High,27.55084746
     FS068, Shell Beruwala, Shell, Western,  Beruwala,7.838451525,80.94385855,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,27.6440678
     FS069, IOC Horana Road, IOC, Western,  Horana,7.854562203,80.95891598,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,27.73728814
     FS070, CEYPETCO Gampaha, CEYPETCO, Western,  Gampaha,7.870672881,80.97397341,  Available,  Available,  Available,12/26/2025 14:45,  High,27.83050847
     FS071, Shell Negombo, Shell, Western,  Negombo,7.886783559,80.98903084,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,27.92372881
     FS072, IOC Katunayake, IOC, Western,  Katunayake,7.902894237,81.00408826,  Available,  Available,  Available,12/26/2025 14:45,  High,28.01694915
     FS073, CEYPETCO Ja-Ela, CEYPETCO, Western,  Ja-Ela,7.919004915,81.01914569,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,28.11016949
     FS074, Shell Wattala, Shell, Western,  Wattala,7.935115593,81.03420312,  Available,  Available,  Available,12/26/2025 14:45,  High,28.20338983
     FS075, IOC Kelaniya, IOC, Western,  Kelaniya,7.951226271,81.04926055,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,28.29661017
     FS076, CEYPETCO Kadawatha, CEYPETCO, Western,  Kadawatha,7.967336949,81.06431798,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,28.38983051
     FS077, Shell Ragama, Shell, Western,  Ragama,7.983447627,81.07937541,  Available,  Available,  Available,12/26/2025 14:45,  High,28.48305085
     FS078, IOC Kiribathgoda, IOC, Western,  Kiribathgoda,7.999558305,81.09443283,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,28.57627119
     FS079, CEYPETCO Kandy Central, CEYPETCO, Central,  Kandy,8.015668983,81.10949026,  Available,  Available,  Available,12/26/2025 14:45,  High,28.66949153
     FS080, Shell Peradeniya, Shell, Central,  Peradeniya,8.031779661,81.12454769,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,28.76271186
     FS081, IOC Katugastota, IOC, Central,  Katugastota,8.047890339,81.13960512,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,28.8559322
     FS082, CEYPETCO Matale, CEYPETCO, Central,  Matale,8.064001017,81.15466255,  Available,  Available,  Available,12/26/2025 14:45,  High,28.94915254
     FS083, Shell Dambulla, Shell, Central,  Dambulla,8.080111695,81.16971998,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,29.04237288
     FS084, IOC Nuwara Eliya, IOC, Central,  Nuwara Eliya,8.096222373,81.18477741,  Available,  Available,  Available,12/26/2025 14:45,  High,29.13559322
     FS085, CEYPETCO Hatton, CEYPETCO, Central,  Hatton,8.112333051,81.19983483,  Available,  Not Available,  Not Available,12/26/2025 14:45,  Low,29.22881356
     FS086, Shell Gampola, Shell, Central,  Gampola,8.128443729,81.21489226,  Available,  Available,  Available,12/26/2025 14:45,  High,29.3220339
     FS087, IOC Nawalapitiya, IOC, Central,  Nawalapitiya,8.144554407,81.22994969,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,29.41525424
     FS088, CEYPETCO Galle Fort, CEYPETCO, Southern,  Galle,8.160665085,81.24500712,  Available,  Available,  Available,12/26/2025 14:45,  High,29.50847458
     FS089, Shell Matara, Shell, Southern,  Matara,8.176775763,81.26006455,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,29.60169492
     FS090, IOC Hambantota, IOC, Southern,  Hambantota,8.192886441,81.27512198,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,29.69491525
     FS091, CEYPETCO Tangalle, CEYPETCO, Southern,  Tangalle,8.208997119,81.2901794,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,29.78813559
     FS092, Shell Hikkaduwa, Shell, Southern,  Hikkaduwa,8.225107797,81.30523683,  Available,  Available,  Available,12/26/2025 14:45,  High,29.88135593
     FS093, IOC Ambalangoda, IOC, Southern,  Ambalangoda,8.241218475,81.32029426,  Available,  Available,  Available,12/26/2025 14:45,  High,29.97457627
     FS094, CEYPETCO Weligama, CEYPETCO, Southern,  Weligama,8.257329153,81.33535169,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,30.06779661
     FS095, Shell Mirissa, Shell, Southern,  Mirissa,8.273439831,81.35040912,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,30.16101695
     FS096, IOC Akuressa, IOC, Southern,  Akuressa,8.289550508,81.36546655,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,30.25423729
     FS097, CEYPETCO Jaffna Town, CEYPETCO, Northern,  Jaffna,8.305661186,81.38052397,  Available,  Available,  Available,12/26/2025 14:45,  High,30.34745763
     FS098, IOC Chavakachcheri, IOC, Northern,  Chavakachcheri,8.321771864,81.3955814,  Available,  Not Available,  Not Available,12/26/2025 14:45,  Medium,30.44067797
     FS099, Shell Point Pedro, Shell, Northern,  Point Pedro,8.337882542,81.41063883,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,30.53389831
     FS100, CEYPETCO Vavuniya, CEYPETCO, Northern,  Vavuniya,8.35399322,81.42569626,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,30.62711864
     FS101, IOC Kilinochchi, IOC, Northern,  Kilinochchi,8.370103898,81.44075369,  Available,  Available,  Available,12/26/2025 14:45,  High,30.72033898
     FS102, Shell Mannar, Shell, Northern,  Mannar,8.386214576,81.45581112,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,30.81355932
     FS103, CEYPETCO Trincomalee, CEYPETCO, Eastern,  Trincomalee,8.402325254,81.47086854,  Available,  Available,  Available,12/26/2025 14:45,  High,30.90677966
     FS104, IOC Batticaloa, IOC, Eastern,  Batticaloa,8.418435932,81.48592597,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,31
     FS105, Shell Ampara, Shell, Eastern,  Ampara,8.43454661,81.5009834,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,31.09322034
     FS106, CEYPETCO Kalmunai, CEYPETCO, Eastern,  Kalmunai,8.450657288,81.51604083,  Available,  Available,  Available,12/26/2025 14:45,  High,31.18644068
     FS107, IOC Valaichchenai, IOC, Eastern,  Valaichchenai,8.466767966,81.53109826,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,31.27966102
     FS108, Shell Kattankudy, Shell, Eastern,  Kattankudy,8.482878644,81.54615569,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,31.37288136
     FS109, CEYPETCO Kurunegala, CEYPETCO, North Western,  Kurunegala,8.498989322,81.56121312,  Available,  Available,  Available,12/26/2025 14:45,  High,31.46610169
     FS110, IOC Puttalam, IOC, North Western,  Puttalam,8.5151,81.57627054,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,31.55932203
     FS111, Shell Chilaw, Shell, North Western,  Chilaw,8.531210678,81.59132797,  Available,  Not Available,  Available,12/26/2025 14:45,  Medium,31.65254237
     FS112, CEYPETCO Kuliyapitiya, CEYPETCO, North Western,  Kuliyapitiya,8.547321356,81.6063854,  Not Available,  Available,  Not Available,12/26/2025 14:45,  Low,31.74576271
     FS113, IOC Wariyapola, IOC, North Western,  Wariyapola,8.563432034,81.62144283,  Available,  Available,  Available,12/26/2025 14:45,  High,31.83898305
     FS114, Shell Narammala, Shell, North Western,  Narammala,8.579542712,81.63650026,  Available,  Available,  Not Available,12/26/2025 14:45,  Medium,31.93220339
     FS115, CEYPETCO Ratnapura, CEYPETCO, Sabaragamuwa,  Ratnapura,8.59565339,81.65155769,  Available,  Available,  Available,12/26/2025 14:45,  High,32.02542373
     FS116, IOC Embilipitiya, IOC, Sabaragamuwa,  Embilipitiya,8.611764068,81.66661511,  Available,  Not Available,  Not Available,12/26/2025 14:45,  Low,32.11864407
     FS117,Shell Balangoda,Shell,Sabaragamuwa,Balangoda,8.627874746,81.68167254,Available,Available,Available,12/26/2025 14:45,High,32.21186441
FS118,Shell Galnewa,Shell,North Central,Galnewa,8.0606,80.5661,Available,Available,Available,12/26/2025 15:10,High,6
FS119,IOC Mahawa,IOC,North Western,Mahawa,7.8289,80.3042,Available,Available,Not Available,12/26/2025 14:15,Medium,19
FS120,CEYPETCO Nikaweratiya,CEYPETCO,North Western,Nikaweratiya,7.7464,80.1125,Not Available,Available,Not Available,12/26/2025 12:40,Low,52
FS121,Shell Maho,Shell,North Western,Maho,7.8226,80.2806,Available,Available,Available,12/26/2025 15:05,High,8
FS122,IOC Dehiattakandiya,IOC,Eastern,Dehiattakandiya,7.7397,81.0786,Available,Not Available,Available,12/26/2025 13:55,Medium,33
FS123,CEYPETCO Kinniya,CEYPETCO,Eastern,Kinniya,8.4974,81.1845,Available,Available,Not Available,12/26/2025 14:25,Medium,21
FS124,Shell Kantale,Shell,Eastern,Kantale,8.3556,81.0119,Not Available,Available,Not Available,12/26/2025 13:15,Low,47
FS125,IOC Valachchenai Central,IOC,Eastern,Valachchenai,7.9167,81.5667,Available,Available,Available,12/26/2025 14:50,High,10
FS126,Ceypetco Batticaloa Main,Ceypetco,Eastern,Batticaloa,7.7102,81.6924,Available,Available,Not Available,12/26/2025 14:55,High,15
FS127,Lanka Fuel Kattankudy,Lanka,Eastern,Kattankudy,7.675,81.73,Available,Limited,Not Available,12/26/2025 15:00,Medium,25
FS128,IOC Kalmunai South,IOC,Eastern,Kalmunai,7.409,81.8347,Available,Available,Available,12/26/2025 15:05,High,12
FS129,Ceypetco Akkaraipattu,Ceypetco,Eastern,Akkaraipattu,7.2167,81.85,Limited,Available,Not Available,12/26/2025 15:10,Medium,30
FS130,Lanka Fuel Ampara City,Lanka,Eastern,Ampara,7.2975,81.682,Available,Available,Available,12/26/2025 15:15,High,8
FS131,IOC Trincomalee Harbour,IOC,Eastern,Trincomalee,8.5874,81.2152,Available,Available,Not Available,12/26/2025 15:20,High,18
FS132,Ceypetco Nilaveli Road,Ceypetco,Eastern,Nilaveli,8.6897,81.199,Limited,Available,Not Available,12/26/2025 15:25,Medium,35
FS133,Lanka Fuel Kantale,Lanka,Eastern,Kantale,8.3546,81.0041,Available,Available,Available,12/26/2025 15:30,High,14
FS134,IOC Morawewa,IOC,Eastern,Morawewa,8.4889,80.9473,Limited,Limited,Not Available,12/26/2025 15:35,Low,45
FS135,Ceypetco Pottuvil,Ceypetco,Eastern,Pottuvil,6.8756,81.8281,Available,Available,Available,12/26/2025 15:40,High,10
FS136,Lanka Fuel Arugam Bay,Lanka,Eastern,Arugam Bay,6.8402,81.8326,Limited,Available,Not Available,12/26/2025 15:45,Medium,28
FS137,IOC Sainthamaruthu,IOC,Eastern,Sainthamaruthu,7.3825,81.835,Available,Available,Available,12/26/2025 15:50,High,9
FS138,Ceypetco Sammanthurai,Ceypetco,Eastern,Sammanthurai,7.3667,81.8,Available,Limited,Not Available,12/26/2025 15:55,Medium,22
FS139,Lanka Fuel Thirukkovil,Lanka,Eastern,Thirukkovil,7.1167,81.85,Limited,Available,Not Available,12/26/2025 16:00,Medium,33
FS140,IOC Uhana,IOC,Eastern,Uhana,7.3636,81.6373,Available,Available,Available,12/26/2025 16:05,High,11
FS141,IOC Chilaw,IOC,North Western,Chilaw,7.5758,79.7953,Available,Available,Not Available,12/26/2025 16:30,High,12
FS142,Ceypetco Wennappuwa,Ceypetco,North Western,Wennappuwa,7.3375,79.8478,Limited,Available,Not Available,12/26/2025 16:35,Medium,25
FS143,Lanka Fuel Kuliyapitiya,Lanka,North Western,Kuliyapitiya,7.468,80.0403,Available,Available,Available,12/26/2025 16:40,High,10
FS144,IOC Puttalam,IOC,North Western,Puttalam,8.0362,79.8283,Available,Limited,Not Available,12/26/2025 16:45,Medium,28
FS145,Ceypetco Anamaduwa,Ceypetco,North Western,Anamaduwa,7.8772,79.8908,Limited,Limited,Not Available,12/26/2025 16:50,Low,45
FS146,IOC Kurunegala City,IOC,North Western,Kurunegala,7.4863,80.3623,Available,Available,Available,12/26/2025 16:55,High,8
FS147,Lanka Fuel Narammala,Lanka,North Western,Narammala,7.4333,80.2167,Available,Limited,Not Available,12/26/2025 17:00,Medium,20
FS148,Ceypetco Wariyapola,Ceypetco,North Western,Wariyapola,7.6256,80.2386,Available,Available,Not Available,12/26/2025 17:05,High,14
FS149,IOC Matale,IOC,Central,Matale,7.4675,80.6234,Available,Available,Available,12/26/2025 17:10,High,10
FS150,Ceypetco Dambulla,Ceypetco,Central,Dambulla,7.8731,80.6511,Limited,Available,Not Available,12/26/2025 17:15,Medium,22
FS151,Lanka Fuel Sigiriya,Lanka,Central,Sigiriya,7.9569,80.7597,Available,Limited,Not Available,12/26/2025 17:20,Medium,26
FS152,IOC Badulla,IOC,Uva,Badulla,6.9934,81.055,Available,Available,Available,12/26/2025 17:25,High,12
FS153,Ceypetco Bandarawela,Ceypetco,Uva,Bandarawela,6.8289,81.015,Limited,Available,Not Available,12/26/2025 17:30,Medium,24
FS154,Lanka Fuel Welimada,Lanka,Uva,Welimada,6.9056,80.9125,Limited,Limited,Not Available,12/26/2025 17:35,Low,42
FS155,IOC Galle Fort,IOC,Southern,Galle,6.0328,80.2168,Available,Available,Available,12/26/2025 17:40,High,10
FS156,Ceypetco Hikkaduwa,Ceypetco,Southern,Hikkaduwa,6.1395,80.1132,Limited,Available,Not Available,12/26/2025 17:45,Medium,20
FS157,Lanka Fuel Ambalangoda,Lanka,Southern,Ambalangoda,6.2355,80.0541,Available,Limited,Not Available,12/26/2025 17:50,Medium,23
FS158,IOC Matara,IOC,Southern,Matara,5.9496,80.535,Available,Available,Available,12/26/2025 17:55,High,9
FS159,Ceypetco Weligama,Ceypetco,Southern,Weligama,5.975,80.4297,Limited,Available,Not Available,12/26/2025 18:00,Medium,21
FS160,Lanka Fuel Tangalle,Lanka,Southern,Tangalle,6.024,80.7947,Available,Limited,Not Available,12/26/2025 18:05,Medium,27
FS161,IOC Hambantota Port,IOC,Southern,Hambantota,6.124,81.1185,Available,Available,Available,12/26/2025 18:10,High,8
FS162,Ceypetco Tissamaharama,Ceypetco,Southern,Tissamaharama,6.2792,81.2867,Limited,Available,Not Available,12/26/2025 18:15,Medium,25
FS163,IOC Ratnapura,IOC,Sabaragamuwa,Ratnapura,6.6828,80.399,Available,Available,Available,12/26/2025 18:20,High,11
FS164,Ceypetco Balangoda,Ceypetco,Sabaragamuwa,Balangoda,6.6647,80.704,Limited,Available,Not Available,12/26/2025 18:25,Medium,24
FS165,Lanka Fuel Kegalle,Lanka,Sabaragamuwa,Kegalle,7.2513,80.3464,Available,Limited,Not Available,12/26/2025 18:30,Medium,22
FS166,IOC Nallur,IOC,Northern,Jaffna,9.6615,80.0255,Available,Available,Available,12/26/2025 18:35,High,10
FS167,Ceypetco Chavakachcheri,Ceypetco,Northern,Chavakachcheri,9.6598,80.1658,Limited,Available,Not Available,12/26/2025 18:40,Medium,26
FS168,Lanka Fuel Point Pedro,Lanka,Northern,Point Pedro,9.8167,80.2333,Available,Limited,Not Available,12/26/2025 18:45,Medium,24
FS169,IOC Vavuniya,IOC,Northern,Vavuniya,8.7542,80.4982,Available,Available,Available,12/26/2025 18:50,High,12
FS170,Ceypetco Mannar,Ceypetco,Northern,Mannar,8.981,79.9044,Limited,Available,Not Available,12/26/2025 18:55,Medium,30
FS171,IOC Colombo Fort,IOC,Western,Colombo,6.9344,79.8428,Available,Available,Available,12/26/2025 19:00,High,8
FS172,Ceypetco Dehiwala,Ceypetco,Western,Dehiwala,6.8519,79.8656,Limited,Available,Not Available,12/26/2025 19:05,Medium,18
FS173,Lanka Fuel Nugegoda,Lanka,Western,Nugegoda,6.8649,79.8997,Available,Limited,Not Available,12/26/2025 19:10,Medium,20
FS174,IOC Homagama,IOC,Western,Homagama,6.848,80.004,Available,Available,Available,12/26/2025 19:15,High,9
FS175,Ceypetco Padukka,Ceypetco,Western,Padukka,6.8408,80.0906,Limited,Available,Not Available,12/26/2025 19:20,Medium,22
FS176,IOC Kalutara,IOC,Western,Kalutara,6.5836,79.959,Available,Available,Available,12/26/2025 19:25,High,10
FS177,Ceypetco Panadura,Ceypetco,Western,Panadura,6.713,79.9024,Limited,Available,Not Available,12/26/2025 19:30,Medium,21
FS178,Lanka Fuel Horana,Lanka,Western,Horana,6.7167,80.0628,Available,Limited,Not Available,12/26/2025 19:35,Medium,24
FS179,IOC Gampaha,IOC,Western,Gampaha,7.0873,80.014,Available,Available,Available,12/26/2025 19:40,High,9
FS180,Ceypetco Negombo,Ceypetco,Western,Negombo,7.2083,79.8358,Limited,Available,Not Available,12/26/2025 19:45,Medium,19
FS181,IOC Minuwangoda,IOC,Western,Minuwangoda,7.175,79.9531,Available,Available,Available,12/26/2025 19:50,High,10
FS182,Ceypetco Ja-Ela,Ceypetco,Western,Ja-Ela,7.0769,79.8913,Limited,Available,Not Available,12/26/2025 19:55,Medium,20
FS183,IOC Wattala,IOC,Western,Wattala,6.9896,79.8916,Available,Available,Available,12/26/2025 20:00,High,8
FS184,Ceypetco Kelaniya,Ceypetco,Western,Kelaniya,6.9553,79.921,Limited,Available,Not Available,12/26/2025 20:05,Medium,18
FS185,IOC Malabe,IOC,Western,Malabe,6.9049,79.955,Available,Available,Available,12/26/2025 20:10,High,9
FS186,Ceypetco Kaduwela,Ceypetco,Western,Kaduwela,6.934,79.9847,Limited,Available,Not Available,12/26/2025 20:15,Medium,19
FS187,IOC Avissawella,IOC,Western,Avissawella,6.9561,80.2047,Available,Available,Available,12/26/2025 20:20,High,10
FS188,Ceypetco Hanwella,Ceypetco,Western,Hanwella,6.9094,80.0811,Limited,Available,Not Available,12/26/2025 20:25,Medium,21
FS189,IOC Kottawa,IOC,Western,Kottawa,6.8401,79.963,Available,Available,Available,12/26/2025 20:30,High,8
